illness_id,illness_name,symptom_id,symptom_label,experience_type,evidence_summary,source_refs
kuru_brain_disease,Kuru (Brain Disease),tremors,Tremors when aiming,direct,Brain disease requests kuru shakes,".../Modifiers/diseases/BrainDisease.c:57"
contamination_stage1,PO-X Poisoning Stage 1,coughing,Coughing,direct,Contamination stage1 queues cough,".../Modifiers/diseases/Contamination.c:33"
contamination_stage2,PO-X Poisoning Stage 2,coughing,Coughing,direct,Contamination stage2 queues cough,".../Modifiers/diseases/Contamination2.c:64"
contamination_stage2,PO-X Poisoning Stage 2,vomiting,Vomiting,direct,Contamination stage2 queues vomit,".../Modifiers/diseases/Contamination2.c:70"
contamination_stage3,PO-X Poisoning Stage 3,vomiting,Vomiting,direct,Contamination stage3 queues vomit,".../Modifiers/diseases/Contamination3.c:32"
contamination_stage3,PO-X Poisoning Stage 3,health_loss,Health loss,direct,Contamination stage3 damages health while unconscious,".../Modifiers/diseases/Contamination3.c:54"
heavy_metal_phase1,Heavy Metal Stage 1,hands_shake,Shaky Hands,direct,Heavy metal phase1 queues hand shiver,".../Modifiers/diseases/HeavyMetal.c:82"
heavy_metal_phase1,Heavy Metal Stage 1,dehydration,Water Loss,direct,Heavy metal phase1 drains water,".../Modifiers/diseases/HeavyMetal.c:67"
heavy_metal_phase2,Heavy Metal Stage 2,light_pain,Mild Grunting,direct,Heavy metal phase2 queues pain light,".../Modifiers/diseases/HeavyMetal.c:136"
heavy_metal_phase2,Heavy Metal Stage 2,deafness,Deafness,direct,Heavy metal phase2 triggers deafness symptom probabilistically,".../Modifiers/diseases/HeavyMetal.c:146"
heavy_metal_phase2,Heavy Metal Stage 2,dehydration,Water Loss,direct,Heavy metal phase2 drains water,".../Modifiers/diseases/HeavyMetal.c:162"
heavy_metal_phase3,Heavy Metal Stage 3,health_loss,Health loss,direct,Heavy metal phase3 drains health,".../Modifiers/diseases/HeavyMetal.c:221"
heavy_metal_phase3,Heavy Metal Stage 3,deafness,Deafness,direct,Heavy metal phase3 enables deafness complete,".../Modifiers/diseases/HeavyMetal.c:207"
heavy_metal_phase3,Heavy Metal Stage 3,vomiting,Vomiting,direct,Heavy metal phase3 queues periodic vomit,".../Modifiers/diseases/HeavyMetal.c:228"
hemolytic_reaction,Hemolytic Reaction,blood_depletes,Lower Blood Level,direct,Hemolytic reaction drains blood directly,".../Modifiers/conditions/HemolyticReaction.c:53"
hemolytic_reaction,Hemolytic Reaction,unconsciousness,Unconsciousness,co_occurring,Blood/shock system can cause unconsciousness during severe blood loss,".../Modifiers/conditions/HemolyticReaction.c:53; .../3_Game/PlayerConstants.c:161; .../3_Game/PlayerConstants.c:154"
broken_leg,Broken Leg,unconsciousness,Unconn,co_occurring,"Broken-leg shock contributes toward unconscious threshold",".../3_Game/PlayerConstants.c:216; .../3_Game/PlayerConstants.c:304; .../Entities/ManBase/PlayerBase.c:3651"
active_bleeding,Blood Loss,bleeding_indicator,Cuts,direct,Bleeding notifier drives HUD bleeding badge,"P:\scripts\4_World\Classes\PlayerNotifiers\Notifiers\BleedingNotfr.c:11; P:\scripts\4_World\Classes\VirtualHud\Elements\Badge\BadgeBleeding.c:7"
active_bleeding,Blood Loss,blood_loss_vision,Blood-Loss Vision,direct,BloodLoss secondary symptom updates PPE blood-loss effect from normalized blood,"P:\scripts\4_World\Classes\PlayerSymptoms\StateManager.c:108; P:\scripts\4_World\Classes\PlayerSymptoms\States\Secondary\BloodLoss.c:33; P:\scripts\3_Game\PPEManager\Requesters\PPERBloodLoss.c:3"
active_bleeding,Blood Loss,blood_depletes,Lower Blood Level,direct,Active bleeding sources continuously drain blood,"P:\scripts\4_World\Classes\BleedingSources\BleedingSource.c:145; P:\scripts\4_World\Classes\BleedingSources\BleedingSourcesManagerServer.c:143"
active_bleeding,Blood Loss,unconsciousness,Uncon,co_occurring,Severe blood loss contributes to unconsciousness thresholds,"P:\scripts\3_Game\PlayerConstants.c:154; P:\scripts\3_Game\PlayerConstants.c:161"
contamination_stage1,PO-X Poisoning Stage 1,bleeding_indicator,Cuts,co_occurring,Area exposure can create contaminated bleeding sources,"P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:98; P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:137"
contamination_stage2,PO-X Poisoning Stage 2,bleeding_indicator,Cuts,co_occurring,Area exposure can create contaminated bleeding sources,"P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:98; P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:137"
contamination_stage3,PO-X Poisoning Stage 3,bleeding_indicator,Cuts,co_occurring,Area exposure can create contaminated bleeding sources,"P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:98; P:\scripts\4_World\Classes\PlayerModifiers\Modifiers\conditions\AreaExposure.c:137"
