category,chain_or_system,stage_or_modifier,driver_or_agent,activation,deactivation,symptoms_and_effects,cures_or_mitigation,source_refs
Disease Chain,Contamination,Stage2,MDF_CONTAMINATION2 (CHEMICAL_POISON),CHEMICAL_POISON >= 100 and < 400,Condition no longer true,Cough + vomit,Gas mask/filter prevention; leave contaminated source,".../Modifiers/diseases/Contamination2.c:35; .../Modifiers/diseases/Contamination2.c:52"
Disease Chain,Contamination,Stage3,MDF_CONTAMINATION3 (CHEMICAL_POISON),CHEMICAL_POISON >= 400,Condition no longer true,Vomit; shock loss; unconscious health loss,Gas mask/filter prevention; leave contaminated source,".../Modifiers/diseases/Contamination3.c:25; .../Modifiers/diseases/Contamination3.c:49"
Disease Chain,Heavy Metal,Phase1,MDF_HEAVYMETAL1 (HEAVYMETAL),HEAVYMETAL >= 1 and < 200,HEAVYMETAL <1 OR >200 (exactly 200 edge),Hand shivers; water loss,Chelation + chelated/filtered water,".../Modifiers/diseases/HeavyMetal.c:55; .../Modifiers/diseases/HeavyMetal.c:60; .../Entities/ItemBase/Edible_Base/ChelatingTablets.c:18; .../Bottle_Base/FilteringBottle.c:63"
Disease Chain,Heavy Metal,Phase2,MDF_HEAVYMETAL2 (HEAVYMETAL),HEAVYMETAL >= 200 and < 400,HEAVYMETAL <200 OR >400 (exactly 400 edge),Pain; intermittent deafness; water loss,Chelation + chelated/filtered water,".../Modifiers/diseases/HeavyMetal.c:115; .../Modifiers/diseases/HeavyMetal.c:120"
Disease Chain,Heavy Metal,Phase3,MDF_HEAVYMETAL3 (HEAVYMETAL),HEAVYMETAL >= 400 and < 600,HEAVYMETAL <400,Severe effects: deafness/HMP; health drain; periodic vomit,Chelation + chelated/filtered water,".../Modifiers/diseases/HeavyMetal.c:195; .../Modifiers/diseases/HeavyMetal.c:200; .../Modifiers/diseases/HeavyMetal.c:221"
Overlay/Fever,Fever,FeverMdfr,MDF_FEVER (dependency modifier),Any active: MDF_CHOLERA OR MDF_INFLUENZA OR MDF_WOUND_INFECTION2,None of those active,Fever blur + hot symptom + extra water loss,Treat underlying disease,".../Modifiers/conditions/Fever.c:21; .../Modifiers/conditions/Fever.c:48; .../Modifiers/conditions/Fever.c:53"
Blood Loss,Active Bleeding Sources,Bleed source tick,Physical bleeding source(s),At least one active bleeding source,Source removed/expired,Continuous blood drain per source scaled by flow + blood pressure scaling,Bandage/sew source(s),".../BleedingSources/BleedingSource.c:145; .../BleedingSources/BleedingSourcesManagerServer.c:143; .../3_Game/PlayerConstants.c:171"
Blood Loss,Fatal Blood Check,BleedingCheckMdfr,MDF_BLEEDING condition,Blood < 2500,No deactivate path (kills player),Immediate fatal kill/bleed-out,Blood restoration before threshold; stop bleeding early,".../Modifiers/conditions/Bleeding.c:27; .../Modifiers/conditions/Bleeding.c:37; .../3_Game/PlayerConstants.c:97"
Blood Loss,Visual Symptom,BloodLoss secondary symptom,SYMPTOM_BLOODLOSS (always queued secondary),Always queued by SymptomManager.AutoactivateSymptoms,Stops requester when normalized blood reaches 1.0,Post-process blood-loss visual intensity based on normalized blood,Restore blood toward normal,".../PlayerSymptoms/StateManager.c:108; .../PlayerSymptoms/States/Secondary/BloodLoss.c:33; .../3_Game/PPEManager/Requesters/PPERBloodLoss.c:3; .../TransferValues.c:114"
Blood Loss,Hud Notifier,BleedingNotfr,NTF_BLEEDISH notifier,When bleeding notifier active,When cleared,Bleeding badge shown on HUD,Stop bleeding sources,".../PlayerNotifiers/Notifiers/BleedingNotfr.c:11; .../VirtualHud/Elements/Badge/BadgeBleeding.c:7"
Injury Chain,Broken Leg,Broken Leg Modifier,MDF_BROKEN_LEGS (fracture state),Broken leg state active,Leg health regenerated to healthy and modifier deactivates,"Fracture notifier; forced injury/locomotion overrides; movement shock events; potential unconsciousness via shock threshold","Apply splint (self/target); limit movement until healed",".../Modifiers/conditions/BrokenLegs.c:16; .../Entities/ManBase/PlayerBase.c:3594; .../Entities/ManBase/PlayerBase.c:3681; .../Actions/Continuous/Medical/ActionSplintSelf.c:29; .../Actions/Continuous/Medical/ActionSplintTarget.c:22"
